|0000|003|0|||01122014|31122014|Halex Istar Ind Farm Ltda|01571702000198|GO|5208707||00|0|
|0001|0|
|0100|IVAN CARLOS DE LIMA|53052749153|GO009904O7||74280160|RUA C-252|1127|QD 604 LT 13|NOVA SUIÇA|6235151280||ivan@kblcontabilidade.com.br|5208707|
|0110|1|2|2||
|0111|12185477,67|651491,06|0,00|0,00|12836968,73|
|0140|0001|HalexIstar Ind Farm Ltda - GO|01571702000198|GO|100016219|5208707|012.229-7||
|0150|C0000502807|HOSPITAL MARIA AUXILIADORA S/A|01058|38000485000196||0733070800198|5300108||A ESPECIAL N. 16 LADO OESTE|S/N||GAMA|
|0150|C0000501065|HOSP. E MAT. SAO MATEUS LTDA|01058|15016827000160||131178342|5103403||AV.  ACLIMACAO|335||BOSQUE DA SAUDE|
|0150|C0000502275|MARTINS DISTRIBUICAO E LOGISTICA EIRELI EM RECUPERACAO JUDICIAL|01058|02614637000101||103047506|5220405||AV EURIPEDES DE MENEZES QD02|SN||PARQUE IND VICE PRESIDENTE JOSE|
|0150|C0000500443|SOUZA PRADO E PEIXOTO LTDA|01058|01656123000148|||5208707||RUA NOVENTA E CINCO|99||SETOR SUL|
|0150|C0000501521|HOSP. SANTA CATARINA LTDA.|01058|01567668000188|||5208707||RUA 23|641||CENTRO|
|0150|C0000501950|ORGANIZACAO HOSPITALAR DE GOIAS LTD|01058|01534437000178|||5208707||RUA 4|1335||CENTRO|
|0150|C0000503695|SAO FRANCISCO E SANTA CLARA SERV. D SAUDE LTDA|01058|09016455000170|||5208707||RUA 9-A|160||SETOR AEROPORTO|
|0150|C0000501810|DMI MATERIAL MEDICO HOSPITALAR LTDA|01058|37109097000185||0732477900154|5300108||ST SAA/NORTE QUADRA 03 NUMERO|1000||ASA NORTE|
|0150|C0000502856|HOSPITAL SANTA LUCIA S/A|01058|00025841000153||0732960500114|5300108||SHLS QD.716 CONJ.C|SN||ASA SUL|
|0150|C0000500451|SANTA CASA DE MISC. E MAT. DE RONDONOPOLIS|01058|03099157000104|||5107602||RUA ACYR REZENDE S. SILVA|100||VILA BIRIGUI|
|0150|C0000501642|CLINICA SAO CAMILO LTDA|01058|15505738000188|||5003702||RUA JOAO ROSA GOES|770||CENTRO|
|0150|C0000503038|SOC.CAMPINEIRA DE EDUCACAO E INSTRUCAO|01058|46020301000269|||3509502||AV.JOHN BOYD DUNLOP,KM 02|S/N||JARDIM LONDRES|
|0150|C0000503551|CENTRO DE ONCOLOGIA DE CUIABA LTDA EPP|01058|26773390000126|||5103403||AV. DAS FLORES|800||JARDIM CUIABA|
|0150|C0000505030|HOSPITAL SAO JUDAS TADEU LTDA|01058|11779314000150|||5103403||AV TANCREDO NEVES|1157||BARBADO|
|0150|C0000502730|FUND. UNIVERSIDADE FED. DE MATO GRO DO SUL|01058|15461510000214|||5002704||AV SENADOR FILINTO MULLER|355||PROXIMO IPIRANGA|
|0150|C0000500037|STA CASA DE MIS.DE PRES.PRUDENTE|01058|55344337000108|||3541406||RUA WENCESLAU BRAZ|05||VILA EUCLIDES|
|0150|C0000501837|IRMANDADE DE MISC. DE JAHU|01058|50753631000150|||3525300||RUA RIACHUELO|1073||CENTRO|
